Answer	Question
you never know what might happen on these freeways.	i agree.
 Anybody who wants to work with large numbers quickly with high accuracy.	 Who uses super computers?
what store did you get it from?	is that right? this is a brand new outfit.
in fact, it's chilly in the apartment, too.	it sure is.
our legislators spent it on first-class travel all over the world.	that's true. where did that money go?
i bought the movie. would you like to come to my house and watch it?	same here.
i was laughing hysterically the whole time; my stomach muscles hurt afterwards.	i couldn't keep from laughing throughout the whole movie.
Yes.	You want to do something?
your wallet is empty?	it's not in my wallet.
i care. do something.	who cares?
so when are we going to stop giving them more?	they are having a good time with our money.
so i'll see you next time.	i'd like that.
I don't really have a choice.	Yes,but you don't want to stress yourself out.
like what, for instance?	i like listening to different kinds of music.
i figured that.	i mean, it's just coffee.
and a puppy eats food. food costs money.	i hate shots.
do you think you can come?	that sounds like fun.
yes, cheese is nice.	i always put cheese in my salads.
it has about 3 million people.	how big is los angeles?
the sky is gray.	why do you say that?
That sounds like a good idea. 	How about going to see a movie?
i'd have to say babe ruth.	yes, but who is the greatest?
you should be happy, not worried.	i'm getting married.
i got it from macy's.	really, where did you get it?
i prefer my quiet little life to all the power in the world.	but think about all the power you'd have.
 The Soviet Union and the United States.	The Space Race was a 20th-century competition between what two Cold War rivals,     for supremacy in spaceflight capability?
what's that?	no, it's earth day.
i took something earlier.	would you like anything for your stomach?
she loves you, yeah, yeah, yeah!...	so do i, like "she loves you."
let me get the keys.	what are we waiting for?
i don't understand.	that means month/day/year. use numbers.
i'm glad sunday is only once a week.	to show respect to god and others.
that means month/day/year. use numbers.	what does "mm/dd/yy" mean?
She sold each class note set for $5.	That is crazy,For how much?
so do i, like "she loves you."	i like the ones i can sing along with.
i really want it to rain today.	the stars look so much closer after it rains.
 I'm sorry, I can't hear you over the sound of how awesome I am.	 You are bragging
yes. and a pickle, if we have any.	how about some potato chips?
what's the matter with the produce?	one to wipe the handle, and the others to wipe the produce.
then we'll just make a u-turn.	then what?
what's so good about it?	yes. it's on every afternoon.
how long have you known how to do that?	i do it every once in a while.
No, I think it's his book.	Is this your book?
no. have you?	have you met the new girl?
a long time ago, flying used to be okay.	so do i.
oh, yes. i wash it once a week.	do you take good care of it?
i have no idea. i've been here for 20 years.	what would you do if you lost your job?
are you serious?	my boss offered me a promotion, and i took it.
i will blow my nose sometime for you, and you'll see.	it wasn't that loud.
 A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.	 What is a computer?
well, i guess that's why he did it.	yes, i think he did.
it has beautiful houses.	it has the rose parade.
well, how tall is she?	she's not too tall.
i'll squeeze the cloth so it's almost dry.	don't let water get into any of the cracks.
but think about all the power you'd have.	i would never want to be president.
no, it's earth day.	is it your birthday or anniversary?
No. I am going to take the test in a couple of weeks .	Do you have a driver's license ?
I don't even know why we have to take this class to transfer.	I doubt it!
it's probably around somewhere.	yes. it isn't there, either.
i have it on dvd at my house if you want to come over and watch it.	mine too.
oh. sorry. okay, i don't have four tens.	that's great, but you're not supposed to tell me.
winter is great. i wish it didn't get so cold sometimes though.	i know what you mean, i can't wait until it's winter.
 he is a fictional character.	 is hal alive
 Excellent!	 I have emotions
and i have to take care of our children.	yes, you have to take care of your wife.
I am fine and you?	How are you my friend?
i've also been busy.	i've just been working really hard.
what happened?	i did.
the point of what?	what's the point?
i guess he has to be very careful about what he eats.	no, it isn't. he almost died when he was little.
okay. what will you teach me?	i'll teach you one.
All the radios will be on extra loud.	Remind me to never visit you.
his doctor says his heart and lungs are strong and healthy.	how can he still be alive?
why do you say that?	you're driving too fast.
why not?	i don't feel like going.
what kind of change?	they say they want change.
yes, they are.	are your nails clean?
 Maradona is great. Sinsemillia is even better.	 WHO IS THE BEST SOCCER PLAYER
 Maybe?	 Are you amused
yes, you have to take care of your wife.	i am happy, but marriage is a lot of responsibility.
oh, that's terrible. what does she look like now?	a mad dog bit most of her face off.
i haven't seen her yet.	there's a new girl in school, have you seen her yet?
i think i've put on some weight.	you think they won't fit?
